Transaction_ID,Date,Time,Sender_ID,Receiver_ID,Sender_Country,Receiver_Country,Payment_Method,Transaction_Amount,Transaction_Currency,Transaction_Velocity,Unusual_Time,Multiple_Currency_Conversions,Repeated_Failed_Attempts,Is_Fraudulent,Is_Known_Fraudster,Is_Sanctioned_Entity,Suspicion_Score,Is_Suspicious,Suspicion_Reasons,Comparison
05884115-2501-4bf3-aadc-9801f0c03357,2023-10-22,06:05:54,d89b4a15-1524-4925-8314-52439f6c6e31,2e007b80-a7d8-472b-b555-1e72fbb0f129,Australia,Netherlands,UPI,160718.94,AUD,8,False,False,3,True,False,False,0.731416318951846,True,"High Transaction Amount ($160718.94, 3.0x average), High Transaction Velocity (8.00, 2.7x average), Cross-border Transaction (Australia to Netherlands)","{'current_amount': 160718.94, 'avg_amount': 54349.425513, 'amount_diff_percent': 195.71414689849325, 'current_velocity': 8, 'avg_velocity': 2.9513, 'velocity_diff_percent': 171.06698742926847}"
b2b540e4-8d37-43eb-91dc-60a149f4ae35,2023-12-12,13:47:49,6a450e58-3b8a-4075-be1d-944c36188427,8ee581e3-0b09-4d58-a7ae-a86883d97086,Brazil,Brazil,UPI,131076.8,BRL,2,True,False,3,True,False,False,0.5980863114622972,True,"High Transaction Amount ($131076.80, 2.4x average), Unusual Transaction Time","{'current_amount': 131076.8, 'avg_amount': 54349.425513, 'amount_diff_percent': 141.17421437812135, 'current_velocity': 2, 'avg_velocity': 2.9513, 'velocity_diff_percent': -32.233253142682884}"
2c5cfc40-9684-4a80-8786-71f6168fe3e7,2024-08-06,00:12:39,66ff9272-a119-47f7-8bca-08c665f4555f,51f7f646-b418-44b1-97b0-577f3ebef1cd,Australia,India,Skrill,53844.07,AUD,9,True,False,0,True,False,False,0.6689415403571136,True,"High Transaction Velocity (9.00, 3.0x average), Unusual Transaction Time, Cross-border Transaction (Australia to India)","{'current_amount': 53844.07, 'avg_amount': 54349.425513, 'amount_diff_percent': -0.9298267796393261, 'current_velocity': 9, 'avg_velocity': 2.9513, 'velocity_diff_percent': 204.95036085792702}"
1b581d70-3afc-483e-a869-2d5f74ad6831,2024-04-29,13:03:17,65ba61a4-2f73-4454-86a9-6e9614bba378,15657439-78cb-4cc1-a9d2-5ab8cdde0b3d,India,UK,PayPal,126666.01,INR,9,True,True,3,True,False,False,0.7670338824429547,True,"High Transaction Amount ($126666.01, 2.3x average), High Transaction Velocity (9.00, 3.0x average), Unusual Transaction Time, Multiple Currency Conversions, Cross-border Transaction (India to UK)","{'current_amount': 126666.01, 'avg_amount': 54349.425513, 'amount_diff_percent': 133.05859961611253, 'current_velocity': 9, 'avg_velocity': 2.9513, 'velocity_diff_percent': 204.95036085792702}"
0866c887-a53c-4ee7-9f04-97b2cbf2fc57,2023-12-06,01:03:01,2bfab8eb-5f5a-4500-ada9-0edc64891721,bbb90603-6749-45ae-8b1f-cdb2b10cfa15,Netherlands,UK,bank transfer,180619.36,EUR,9,True,False,0,True,False,False,0.7102293135934516,True,"High Transaction Amount ($180619.36, 3.3x average), High Transaction Velocity (9.00, 3.0x average), Unusual Transaction Time, Cross-border Transaction (Netherlands to UK)","{'current_amount': 180619.36, 'avg_amount': 54349.425513, 'amount_diff_percent': 232.329842119117, 'current_velocity': 9, 'avg_velocity': 2.9513, 'velocity_diff_percent': 204.95036085792702}"
e969ea5e-9365-4ecb-884b-75cfa272b9e6,2023-12-28,14:37:53,cc1e7668-a705-4b61-86db-a71b8a6bc6c4,2dad4913-dc45-4c50-a3f8-54968da0620b,Canada,Netherlands,Skrill,914.6,CAD,10,True,False,6,True,False,False,0.7419542766838163,True,"High Transaction Velocity (10.00, 3.4x average), Unusual Transaction Time, Cross-border Transaction (Canada to Netherlands)","{'current_amount': 914.6, 'avg_amount': 54349.425513, 'amount_diff_percent': -98.3171855242863, 'current_velocity': 10, 'avg_velocity': 2.9513, 'velocity_diff_percent': 238.8337342865856}"
798f0bff-0907-4212-bfbc-66d212355c6b,2024-07-30,16:08:08,64057508-b429-4552-a6a8-922e7c13575c,7478cb67-60e2-4eaa-8ab1-5bb37acbe038,Germany,Germany,UPI,115781.62,EUR,12,False,False,0,True,False,False,0.671282225929927,True,"High Transaction Amount ($115781.62, 2.1x average), High Transaction Velocity (12.00, 4.1x average)","{'current_amount': 115781.62, 'avg_amount': 54349.425513, 'amount_diff_percent': 113.03191139031605, 'current_velocity': 12, 'avg_velocity': 2.9513, 'velocity_diff_percent': 306.6004811439027}"
f6576495-9de6-4ac0-998e-a709aa5cee1d,2024-04-17,16:16:21,24bc792f-09f4-402c-8944-78d8aa4990a6,b470d048-e264-409b-998f-48c1060ad9d5,Brazil,Netherlands,bank transfer,58151.77,BRL,8,True,False,2,True,False,False,0.6265152955774416,True,"High Transaction Velocity (8.00, 2.7x average), Unusual Transaction Time, Cross-border Transaction (Brazil to Netherlands)","{'current_amount': 58151.77, 'avg_amount': 54349.425513, 'amount_diff_percent': 6.996107964546011, 'current_velocity': 8, 'avg_velocity': 2.9513, 'velocity_diff_percent': 171.06698742926847}"
e672cb0f-ee51-4041-89b2-605f8dee2ed6,2024-08-11,01:21:31,ce863a06-2d8f-44ab-bc24-6018bbb6f3fb,417f470c-d12e-497b-9ea1-347ad8e8127a,Australia,France,bank transfer,191053.46,AUD,8,False,False,0,True,False,False,0.7663886301461447,True,"High Transaction Amount ($191053.46, 3.5x average), High Transaction Velocity (8.00, 2.7x average), Cross-border Transaction (Australia to France)","{'current_amount': 191053.46, 'avg_amount': 54349.425513, 'amount_diff_percent': 251.5280211274751, 'current_velocity': 8, 'avg_velocity': 2.9513, 'velocity_diff_percent': 171.06698742926847}"
c25249b9-632a-469a-b30b-d31892879934,2024-02-25,07:44:18,8ff684f8-cf85-4c32-ac1e-b46b24816fbc,9953b501-5805-4ccd-a140-6ea3f21cc246,Australia,USA,Skrill,197082.38,AUD,7,True,False,2,True,False,False,0.7364939951960331,True,"High Transaction Amount ($197082.38, 3.6x average), High Transaction Velocity (7.00, 2.4x average), Unusual Transaction Time, Cross-border Transaction (Australia to USA)","{'current_amount': 197082.38, 'avg_amount': 54349.425513, 'amount_diff_percent': 262.62090747005095, 'current_velocity': 7, 'avg_velocity': 2.9513, 'velocity_diff_percent': 137.1836140006099}"
b5948a0e-42de-4a2d-a98d-d924c7044768,2024-05-27,15:03:04,15990eaf-6bdd-4d75-9bd4-ab553e36bc4d,19cecc1b-a273-4f94-b4a4-7f547f083c9c,Netherlands,Germany,bank transfer,46283.35,EUR,9,True,False,1,True,False,False,0.571371604253627,True,"High Transaction Velocity (9.00, 3.0x average), Unusual Transaction Time, Cross-border Transaction (Netherlands to Germany)","{'current_amount': 46283.35, 'avg_amount': 54349.425513, 'amount_diff_percent': -14.841142177428637, 'current_velocity': 9, 'avg_velocity': 2.9513, 'velocity_diff_percent': 204.95036085792702}"
0632b6e7-830b-40de-89ac-637452071647,2024-09-14,18:47:05,fbc87638-c906-4251-9677-3d4051e6c613,ee9aaa76-1fb0-4bd2-8bc5-29be846771dc,Netherlands,Japan,UPI,114600.11,EUR,3,True,False,4,True,False,False,0.6379909685545303,True,"High Transaction Amount ($114600.11, 2.1x average), Unusual Transaction Time, Cross-border Transaction (Netherlands to Japan)","{'current_amount': 114600.11, 'avg_amount': 54349.425513, 'amount_diff_percent': 110.85799696739839, 'current_velocity': 3, 'avg_velocity': 2.9513, 'velocity_diff_percent': 1.6501202859756783}"
75918d8a-cd67-41c1-bcbe-d1e2db59efa2,2023-12-07,05:29:29,86ee2a1b-3133-4762-a14d-91737513633e,a7b30eb9-8102-4e52-a77a-643a0d3c2b66,India,USA,PayPal,6072.71,INR,14,False,False,4,True,False,False,0.6011311857355492,True,"High Transaction Velocity (14.00, 4.7x average), Cross-border Transaction (India to USA)","{'current_amount': 6072.71, 'avg_amount': 54349.425513, 'amount_diff_percent': -88.82654242859024, 'current_velocity': 14, 'avg_velocity': 2.9513, 'velocity_diff_percent': 374.3672280012198}"
0bbf0a1c-1278-4095-b81c-5d86de71f323,2024-03-03,03:38:02,b49dee8a-e755-4605-b1f9-72dc14555872,58d6109f-d2dd-4267-804d-f780ec8daae1,Brazil,Canada,bank transfer,89761.15,BRL,8,True,False,7,True,False,False,0.7541862717534349,True,"High Transaction Amount ($89761.15, 1.7x average), High Transaction Velocity (8.00, 2.7x average), Unusual Transaction Time, Cross-border Transaction (Brazil to Canada)","{'current_amount': 89761.15, 'avg_amount': 54349.425513, 'amount_diff_percent': 65.1556555616761, 'current_velocity': 8, 'avg_velocity': 2.9513, 'velocity_diff_percent': 171.06698742926847}"
cb44931c-9463-4e10-b05d-eb6293af3c0a,2024-09-19,10:36:20,23eb3deb-ddbe-4d6b-9382-ed9d2b7358bd,03359637-e6cd-4d6a-85f7-6db94f502afb,France,India,Skrill,27685.35,EUR,11,True,False,4,True,False,False,0.6721931927950986,True,"High Transaction Velocity (11.00, 3.7x average), Unusual Transaction Time, Cross-border Transaction (France to India)","{'current_amount': 27685.35, 'avg_amount': 54349.425513, 'amount_diff_percent': -49.060455122238864, 'current_velocity': 11, 'avg_velocity': 2.9513, 'velocity_diff_percent': 272.71710771524414}"
388cbcb7-d0a2-4918-902b-a76956914a07,2023-11-10,03:53:05,31097706-cfc6-4ec5-b1ba-d5a480bcff60,0f94249a-2bcf-4859-91d8-a9dfa7fb9beb,France,Netherlands,UPI,57263.39,EUR,8,False,False,4,True,False,False,0.7155574302277649,True,"High Transaction Velocity (8.00, 2.7x average), Cross-border Transaction (France to Netherlands)","{'current_amount': 57263.39, 'avg_amount': 54349.425513, 'amount_diff_percent': 5.361536869056689, 'current_velocity': 8, 'avg_velocity': 2.9513, 'velocity_diff_percent': 171.06698742926847}"
38c52c9f-5dda-44d3-93fb-768af6a9463a,2024-08-02,08:44:41,eab448f1-a64a-4636-8619-81cbce116a1a,f68e86e9-89aa-4c02-a144-8a09196b08b8,India,France,bank transfer,3852.54,INR,12,False,False,2,True,False,False,0.5199367194221307,True,"High Transaction Velocity (12.00, 4.1x average), Cross-border Transaction (India to France)","{'current_amount': 3852.54, 'avg_amount': 54349.425513, 'amount_diff_percent': -92.91153500954947, 'current_velocity': 12, 'avg_velocity': 2.9513, 'velocity_diff_percent': 306.6004811439027}"
